 Time1  Time2       u_stat         p-val Reject
     0      1 2.619139e+12  0.000000e+00   True
     0      2 2.364378e+12  0.000000e+00   True
     0      3 1.471508e+12  0.000000e+00   True
     0      4 1.049144e+12  0.000000e+00   True
     0      5 8.207393e+11  0.000000e+00   True
     0      6 6.747495e+11  0.000000e+00   True
     0      7 5.654236e+11  0.000000e+00   True
     0      8 4.791641e+11  0.000000e+00   True
     0      9 4.100534e+11  0.000000e+00   True
     0     10 3.560550e+11  0.000000e+00   True
     0     11 3.097454e+11  0.000000e+00   True
     0     12 2.721250e+11  0.000000e+00   True
     0     13 2.399687e+11  0.000000e+00   True
     0     14 2.116312e+11  0.000000e+00   True
     0     15 1.888527e+11  0.000000e+00   True
     0     16 1.689915e+11  0.000000e+00   True
     0     17 1.512595e+11  0.000000e+00   True
     0     18 1.365531e+11  0.000000e+00   True
     0     19 1.239170e+11  0.000000e+00   True
     0     20 1.118347e+11  0.000000e+00   True
     0     21 1.015722e+11  0.000000e+00   True
     0     22 9.317250e+10  0.000000e+00   True
     0     23 8.514931e+10  0.000000e+00   True
     0     24 7.763775e+10  0.000000e+00   True
     0     25 7.138441e+10  0.000000e+00   True
     0     26 6.572537e+10  0.000000e+00   True
     0     27 6.012295e+10  0.000000e+00   True
     0     28 5.592668e+10  0.000000e+00   True
     0     29 5.130513e+10  0.000000e+00   True
     0     30 4.787683e+10  0.000000e+00   True
     0     31 4.500035e+10  0.000000e+00   True
     0     32 4.162710e+10  0.000000e+00   True
     0     33 3.878306e+10  0.000000e+00   True
     0     34 3.639370e+10  0.000000e+00   True
     0     35 3.358999e+10  0.000000e+00   True
     0     36 3.160548e+10  0.000000e+00   True
     0     37 2.941058e+10  0.000000e+00   True
     0     38 2.776930e+10  0.000000e+00   True
     0     39 2.586266e+10  0.000000e+00   True
     0     40 2.465462e+10  0.000000e+00   True
     0     41 2.293872e+10  0.000000e+00   True
     0     42 2.158744e+10  0.000000e+00   True
     0     43 2.026497e+10  0.000000e+00   True
     0     44 1.910556e+10  0.000000e+00   True
     0     45 1.800393e+10  0.000000e+00   True
     0     46 1.706638e+10  0.000000e+00   True
     0     47 1.599857e+10  0.000000e+00   True
     0     48 1.522227e+10  0.000000e+00   True
     0     49 1.443430e+10  0.000000e+00   True
     0     50 1.357207e+10  0.000000e+00   True
     0     51 1.285318e+10  0.000000e+00   True
     0     52 1.220826e+10  0.000000e+00   True
     0     53 1.172686e+10  0.000000e+00   True
     0     54 1.092784e+10  0.000000e+00   True
     0     55 1.043047e+10  0.000000e+00   True
     0     56 1.011991e+10  0.000000e+00   True
     0     57 9.542327e+09  0.000000e+00   True
     0     58 9.082353e+09  0.000000e+00   True
     0     59 8.702131e+09  0.000000e+00   True
     0     60 8.293606e+09  0.000000e+00   True
     0     61 7.799518e+09 4.658006e-310   True
     0     62 7.537973e+09 1.950545e-310   True
     0     63 7.143137e+09 2.228392e-276   True
     0     64 6.903397e+09 3.639473e-285   True
     0     65 6.468960e+09 1.340723e-246   True
     0     66 6.418293e+09 2.180330e-260   True
     0     67 5.852733e+09 3.736371e-239   True
     0     68 5.678260e+09 1.844027e-234   True
     0     69 5.475017e+09 3.440753e-219   True
     0     70 5.268929e+09 1.213474e-215   True
     0     71 5.013781e+09 4.880103e-220   True
     0     72 4.779850e+09 3.081885e-197   True
     0     73 4.695787e+09 1.651733e-206   True
     0     74 4.543812e+09 7.164277e-207   True
     0     75 4.190374e+09 6.136640e-170   True
     0     76 4.038432e+09 1.313266e-154   True
     0     77 3.920431e+09 2.737642e-142   True
     0     78 3.925436e+09 7.290329e-178   True
     0     79 3.703391e+09 1.122994e-149   True
     0     80 3.516409e+09 6.806428e-152   True
     0     81 3.333159e+09 4.085181e-134   True
     0     82 3.232510e+09 6.448082e-137   True
     0     83 3.132329e+09 2.151666e-135   True
     0     84 3.007499e+09 1.646190e-132   True
     0     85 2.822535e+09 5.634315e-126   True
     0     86 2.801168e+09 1.508928e-127   True
     0     87 2.681816e+09 1.845401e-100   True
     0     88 2.681508e+09 7.476822e-117   True
     0     89 2.487021e+09 1.988417e-106   True
     0     90 2.425110e+09 2.398572e-110   True
     0     91 2.333554e+09 1.870232e-104   True
     0     92 2.221200e+09 9.085409e-101   True
     0     93 2.154292e+09 2.550388e-100   True
     0     94 2.015933e+09  5.028828e-78   True
     0     95 1.944240e+09  5.708753e-80   True
     0     96 1.978114e+09  5.453817e-91   True
     0     97 1.768932e+09  1.536119e-62   True
     0     98 1.758279e+09  1.636654e-63   True
     0     99 1.762662e+09  4.807984e-72   True
     0    100 1.695869e+09  3.747724e-83   True
     0    101 1.684635e+09  2.389790e-78   True
     0    102 1.622303e+09  2.107079e-77   True
     0    103 1.472930e+09  6.885953e-52   True
     0    104 1.485178e+09  1.484989e-58   True
     0    105 1.498689e+09  1.113409e-72   True
     0    106 1.338657e+09  9.040682e-49   True
     0    107 1.287237e+09  2.390905e-46   True
     0    108 1.319298e+09  9.889605e-54   True
     0    109 1.327932e+09  4.216217e-59   True
     0    110 1.182466e+09  3.438583e-42   True
     0    111 1.227486e+09  6.400795e-56   True
     0    112 1.206901e+09  4.212980e-59   True
     0    113 1.112007e+09  8.826525e-54   True
     0    114 1.081100e+09  3.938345e-50   True
     0    115 9.958236e+08  1.061514e-37   True
     0    116 1.084611e+09  4.676801e-46   True
     0    117 1.014286e+09  9.770078e-53   True
     0    118 9.850831e+08  2.473127e-52   True
     0    119 9.183665e+08  5.481924e-44   True
     0    120 9.546247e+08  8.385610e-46   True
     0    121 8.715839e+08  4.581902e-43   True
     0    122 8.550143e+08  2.479342e-39   True
     0    123 8.562883e+08  2.457476e-36   True
     0    124 8.098149e+08  3.574347e-33   True
     0    125 7.018363e+08  1.105547e-26   True
     0    126 7.305070e+08  1.353957e-32   True
     0    127 7.623909e+08  5.151532e-37   True
     0    128 7.524538e+08  4.448968e-26   True
     0    129 7.057289e+08  3.033778e-29   True
     0    130 6.689998e+08  2.045197e-23   True
     0    131 6.601060e+08  4.525843e-26   True
     0    132 6.718845e+08  4.154690e-31   True
     0    133 6.264046e+08  5.427590e-26   True
     0    134 6.455659e+08  5.090972e-29   True
     0    135 5.634518e+08  1.189415e-19   True
     0    136 5.882855e+08  1.687369e-26   True
     0    137 5.346562e+08  1.570106e-18   True
     0    138 5.391824e+08  4.053987e-19   True
     0    139 5.195593e+08  3.018872e-17   True
     0    140 5.761499e+08  1.611699e-22   True
     0    141 5.586080e+08  1.335703e-26   True
     0    142 5.021565e+08  1.763652e-19   True
     0    143 4.942503e+08  9.566495e-23   True
     0    144 4.593069e+08  4.266207e-23   True
     0    145 4.674261e+08  2.984673e-23   True
     0    146 4.227609e+08  1.562188e-19   True
     0    147 4.110290e+08  9.603277e-16   True
     0    148 4.021810e+08  5.410761e-16   True
     0    149 4.404019e+08  2.811526e-19   True
     0    150 3.866501e+08  6.768296e-16   True
     1      2 4.092137e+12  0.000000e+00   True
     1      3 2.549528e+12  0.000000e+00   True
     1      4 1.818742e+12  0.000000e+00   True
     1      5 1.423350e+12  0.000000e+00   True
     1      6 1.170596e+12  0.000000e+00   True
     1      7 9.812533e+11  0.000000e+00   True
     1      8 8.317761e+11  0.000000e+00   True
     1      9 7.120439e+11  0.000000e+00   True
     1     10 6.184014e+11  0.000000e+00   True
     1     11 5.380888e+11  0.000000e+00   True
     1     12 4.728427e+11  0.000000e+00   True
     1     13 4.170407e+11  0.000000e+00   True
     1     14 3.678600e+11  0.000000e+00   True
     1     15 3.282770e+11  0.000000e+00   True
     1     16 2.937813e+11  0.000000e+00   True
     1     17 2.630182e+11  0.000000e+00   True
     1     18 2.374710e+11  0.000000e+00   True
     1     19 2.155321e+11  0.000000e+00   True
     1     20 1.945250e+11  0.000000e+00   True
     1     21 1.766827e+11  0.000000e+00   True
     1     22 1.620892e+11  0.000000e+00   True
     1     23 1.481453e+11  0.000000e+00   True
     1     24 1.350692e+11  0.000000e+00   True
     1     25 1.242064e+11  0.000000e+00   True
     1     26 1.143843e+11  0.000000e+00   True
